meter_id,date,cluster_id
0,2018-01-13,3
1,2018-01-13,0
2,2018-01-13,2
3,2018-01-13,1
4,2018-01-13,1
5,2018-01-13,4
6,2018-01-13,4
7,2018-01-13,3
8,2018-01-13,2
9,2018-01-13,0
10,2018-01-13,0
11,2018-01-13,3
12,2018-01-13,0
13,2018-01-13,0
14,2018-01-13,3
15,2018-01-13,0
16,2018-01-13,3
17,2018-01-13,4
18,2018-01-13,2
19,2018-01-13,0
20,2018-01-13,2
21,2018-01-13,3
22,2018-01-13,3
23,2018-01-13,2
0,2018-01-14,3
1,2018-01-14,4
2,2018-01-14,0
3,2018-01-14,1
4,2018-01-14,2
5,2018-01-14,4
6,2018-01-14,4
7,2018-01-14,3
8,2018-01-14,0
9,2018-01-14,0
10,2018-01-14,3
11,2018-01-14,0
12,2018-01-14,0
13,2018-01-14,0
14,2018-01-14,3
15,2018-01-14,0
16,2018-01-14,0
17,2018-01-14,4
18,2018-01-14,2
19,2018-01-14,0
20,2018-01-14,2
21,2018-01-14,3
22,2018-01-14,0
23,2018-01-14,0
0,2018-01-15,3
1,2018-01-15,3
2,2018-01-15,3
3,2018-01-15,1
4,2018-01-15,4
5,2018-01-15,4
6,2018-01-15,1
7,2018-01-15,3
8,2018-01-15,3
9,2018-01-15,4
10,2018-01-15,4
11,2018-01-15,3
12,2018-01-15,3
13,2018-01-15,4
14,2018-01-15,3
15,2018-01-15,0
16,2018-01-15,3
17,2018-01-15,1
18,2018-01-15,2
19,2018-01-15,3
20,2018-01-15,0
21,2018-01-15,0
22,2018-01-15,3
23,2018-01-15,0
0,2018-01-16,3
1,2018-01-16,3
2,2018-01-16,2
3,2018-01-16,1
4,2018-01-16,4
5,2018-01-16,4
6,2018-01-16,1
7,2018-01-16,3
8,2018-01-16,3
9,2018-01-16,1
10,2018-01-16,4
11,2018-01-16,3
12,2018-01-16,3
13,2018-01-16,3
14,2018-01-16,3
15,2018-01-16,0
16,2018-01-16,3
17,2018-01-16,1
18,2018-01-16,2
19,2018-01-16,3
20,2018-01-16,2
21,2018-01-16,0
22,2018-01-16,4
23,2018-01-16,0
0,2018-01-17,3
1,2018-01-17,3
2,2018-01-17,2
3,2018-01-17,1
4,2018-01-17,4
5,2018-01-17,4
6,2018-01-17,1
7,2018-01-17,3
8,2018-01-17,3
9,2018-01-17,1
10,2018-01-17,4
11,2018-01-17,3
12,2018-01-17,3
13,2018-01-17,4
14,2018-01-17,3
15,2018-01-17,0
16,2018-01-17,0
17,2018-01-17,1
18,2018-01-17,2
19,2018-01-17,3
20,2018-01-17,0
21,2018-01-17,0
22,2018-01-17,3
23,2018-01-17,0
0,2018-01-18,3
1,2018-01-18,0
2,2018-01-18,3
3,2018-01-18,1
4,2018-01-18,4
5,2018-01-18,4
6,2018-01-18,1
7,2018-01-18,3
8,2018-01-18,3
9,2018-01-18,1
10,2018-01-18,4
11,2018-01-18,3
12,2018-01-18,0
13,2018-01-18,4
14,2018-01-18,3
15,2018-01-18,0
16,2018-01-18,0
17,2018-01-18,1
18,2018-01-18,2
19,2018-01-18,3
20,2018-01-18,0
21,2018-01-18,0
22,2018-01-18,4
23,2018-01-18,0
0,2018-01-19,3
1,2018-01-19,3
2,2018-01-19,2
3,2018-01-19,1
4,2018-01-19,4
5,2018-01-19,4
6,2018-01-19,1
7,2018-01-19,3
8,2018-01-19,3
9,2018-01-19,4
10,2018-01-19,4
11,2018-01-19,3
12,2018-01-19,4
13,2018-01-19,4
14,2018-01-19,3
15,2018-01-19,0
16,2018-01-19,3
17,2018-01-19,1
18,2018-01-19,2
19,2018-01-19,3
20,2018-01-19,0
21,2018-01-19,4
22,2018-01-19,4
23,2018-01-19,2
0,2018-01-20,3
1,2018-01-20,0
2,2018-01-20,0
3,2018-01-20,1
4,2018-01-20,1
5,2018-01-20,4
6,2018-01-20,4
7,2018-01-20,4
8,2018-01-20,0
9,2018-01-20,0
10,2018-01-20,0
11,2018-01-20,0
12,2018-01-20,0
13,2018-01-20,0
14,2018-01-20,0
15,2018-01-20,0
16,2018-01-20,0
17,2018-01-20,4
18,2018-01-20,2
19,2018-01-20,0
20,2018-01-20,2
21,2018-01-20,0
22,2018-01-20,0
23,2018-01-20,0
0,2018-01-21,0
1,2018-01-21,0
2,2018-01-21,0
3,2018-01-21,1
4,2018-01-21,2
5,2018-01-21,4
6,2018-01-21,4
7,2018-01-21,0
8,2018-01-21,0
9,2018-01-21,0
10,2018-01-21,0
11,2018-01-21,0
12,2018-01-21,0
13,2018-01-21,0
14,2018-01-21,0
15,2018-01-21,0
16,2018-01-21,0
17,2018-01-21,0
18,2018-01-21,2
19,2018-01-21,0
20,2018-01-21,2
21,2018-01-21,0
22,2018-01-21,0
23,2018-01-21,0
0,2018-01-22,3
1,2018-01-22,0
2,2018-01-22,0
3,2018-01-22,1
4,2018-01-22,4
5,2018-01-22,4
6,2018-01-22,1
7,2018-01-22,4
8,2018-01-22,0
9,2018-01-22,1
10,2018-01-22,4
11,2018-01-22,3
12,2018-01-22,3
13,2018-01-22,4
14,2018-01-22,3
15,2018-01-22,4
16,2018-01-22,3
17,2018-01-22,1
18,2018-01-22,2
19,2018-01-22,3
20,2018-01-22,2
21,2018-01-22,0
22,2018-01-22,4
23,2018-01-22,0
0,2018-01-23,3
1,2018-01-23,3
2,2018-01-23,2
3,2018-01-23,1
4,2018-01-23,4
5,2018-01-23,4
6,2018-01-23,1
7,2018-01-23,3
8,2018-01-23,2
9,2018-01-23,1
10,2018-01-23,4
11,2018-01-23,3
12,2018-01-23,3
13,2018-01-23,3
14,2018-01-23,3
15,2018-01-23,0
16,2018-01-23,3
17,2018-01-23,1
18,2018-01-23,2
19,2018-01-23,3
20,2018-01-23,2
21,2018-01-23,3
22,2018-01-23,3
23,2018-01-23,2
0,2018-01-24,3
1,2018-01-24,3
2,2018-01-24,2
3,2018-01-24,1
4,2018-01-24,4
5,2018-01-24,4
6,2018-01-24,1
7,2018-01-24,3
8,2018-01-24,2
9,2018-01-24,1
10,2018-01-24,4
11,2018-01-24,3
12,2018-01-24,3
13,2018-01-24,4
14,2018-01-24,3
15,2018-01-24,0
16,2018-01-24,3
17,2018-01-24,1
18,2018-01-24,2
19,2018-01-24,3
20,2018-01-24,0
21,2018-01-24,3
22,2018-01-24,3
23,2018-01-24,0
0,2018-01-25,3
1,2018-01-25,3
2,2018-01-25,2
3,2018-01-25,1
4,2018-01-25,4
5,2018-01-25,4
6,2018-01-25,1
7,2018-01-25,3
8,2018-01-25,2
9,2018-01-25,1
10,2018-01-25,4
11,2018-01-25,3
12,2018-01-25,3
13,2018-01-25,4
14,2018-01-25,3
15,2018-01-25,0
16,2018-01-25,3
17,2018-01-25,1
18,2018-01-25,2
19,2018-01-25,3
20,2018-01-25,0
21,2018-01-25,3
22,2018-01-25,4
23,2018-01-25,2
