meter_id,date,temp_normed,log_mean_z,log_std_z
0,2018-01-13,-1.2640458,-1.0939381,-1.0380303
1,2018-01-13,-1.2640458,0.38447106,0.61712813
2,2018-01-13,-1.2640458,-1.2730771,-0.95504683
3,2018-01-13,-1.2640458,0.23179168,0.36270934
4,2018-01-13,-1.2640458,-0.0592709,-3.0854495
5,2018-01-13,-1.2640458,1.1372626,0.41158226
6,2018-01-13,-1.2640458,0.12410485,-2.0379722
7,2018-01-13,-1.2640458,-0.5719776,-0.75123876
8,2018-01-13,-1.2640458,0.5156103,-0.18955219
9,2018-01-13,-1.2640458,-1.2361062,-2.8165445
10,2018-01-13,-1.2640458,0.41277632,-0.19944748
11,2018-01-13,-1.2640458,0.24757476,0.28506014
12,2018-01-13,-1.2640458,1.0470958,1.1858476
13,2018-01-13,-1.2640458,-0.39399055,-1.1117619
14,2018-01-13,-1.2640458,0.21198975,0.3070453
15,2018-01-13,-1.2640458,1.3774658,0.35598692
16,2018-01-13,-1.2640458,1.4506848,0.9534366
17,2018-01-13,-1.2640458,-0.46258003,-1.1652877
18,2018-01-13,-1.2640458,-0.031663444,0.4787823
19,2018-01-13,-1.2640458,0.56414545,0.15615259
20,2018-01-13,-1.2640458,1.0040098,0.7576749
21,2018-01-13,-1.2640458,-1.2988559,-1.0116786
22,2018-01-13,-1.2640458,-0.47794104,-0.22001328
23,2018-01-13,-1.2640458,-0.2648617,-0.91850066
0,2018-01-14,-1.3666978,-0.88864875,-0.61740834
1,2018-01-14,-1.3666978,0.52316576,0.9969179
2,2018-01-14,-1.3666978,-1.0088329,-0.8955717
3,2018-01-14,-1.3666978,0.19985342,0.3365651
4,2018-01-14,-1.3666978,-0.11157399,-3.1467626
5,2018-01-14,-1.3666978,1.0445441,0.0828569
6,2018-01-14,-1.3666978,0.12992758,-2.1244915
7,2018-01-14,-1.3666978,-0.36650926,-0.29634798
8,2018-01-14,-1.3666978,0.6938592,0.14093855
9,2018-01-14,-1.3666978,-1.2249136,-3.0059345
10,2018-01-14,-1.3666978,0.4930837,-0.69139653
11,2018-01-14,-1.3666978,0.35161757,0.65318966
12,2018-01-14,-1.3666978,1.1196141,1.2449378
13,2018-01-14,-1.3666978,-0.2767104,-0.5290829
14,2018-01-14,-1.3666978,0.43370315,0.69650185
15,2018-01-14,-1.3666978,1.3375252,0.09902392
16,2018-01-14,-1.3666978,1.4881278,1.0774658
17,2018-01-14,-1.3666978,-0.37863597,-0.97226506
18,2018-01-14,-1.3666978,0.20339651,0.5396477
19,2018-01-14,-1.3666978,0.7353367,0.6031183
20,2018-01-14,-1.3666978,0.99721825,1.1537149
21,2018-01-14,-1.3666978,-1.3201663,-1.3217995
22,2018-01-14,-1.3666978,-0.47376302,-0.19605291
23,2018-01-14,-1.3666978,-0.16975622,-0.8606033
