condition,cluster,day_type,season,n_real,n_syn,acf_l2,wasserstein,crps,spectral_frechet
c0_wkd_win,0,wkd,win,98,200,0.47137343883514404,6.483080719937032,6.447446922621232,1784.2778885311386
c0_wkd_spr,0,wkd,spr,63,200,0.5444625020027161,4.662057793602673,5.862086651858467,1867.4493880010411
c0_wkd_sum,0,wkd,sum,80,200,0.4212310016155243,2.731142329985971,9.91486460642318,863.3548346764477
c0_wkd_aut,0,wkd,aut,63,200,0.5030293464660645,4.681042307431574,5.767568222511982,2460.808382074106
c0_wke_win,0,wke,win,84,200,0.29159340262413025,3.7344846418714606,5.085556491486327,584.9364061491605
c0_wke_spr,0,wke,spr,52,200,0.26560521125793457,3.312265419788297,7.312359284580595,583.9638693954432
c0_wke_sum,0,wke,sum,36,200,0.22150646150112152,2.1678664066494004,7.548154017943034,240.8057200011578
c0_wke_aut,0,wke,aut,49,200,0.3382470905780792,3.3976739343276976,7.221252062130624,672.8462103168785
c2_wkd_win,2,wkd,win,71,200,0.4279608726501465,3.6375723619976235,3.595343000556298,1040.1557903983626
c2_wkd_spr,2,wkd,spr,70,200,0.5341408848762512,2.885343090414102,4.357657839025486,662.5220123247691
c2_wkd_sum,2,wkd,sum,66,200,0.4554760754108429,1.7704835418181204,1.651151604986597,386.7285494992083
c2_wkd_aut,2,wkd,aut,65,200,0.7556141018867493,2.7306239931412684,3.4252713522777727,979.201606005699
c2_wke_win,2,wke,win,29,200,0.3269672095775604,3.299432381853786,3.0660872684285896,595.9617935583124
c2_wke_spr,2,wke,spr,32,200,0.3930371105670929,3.088386085626968,7.098161297591029,381.8705470769079
c2_wke_sum,2,wke,sum,45,200,0.42524147033691406,3.646086597085198,9.207266883300464,332.9685168919348
c2_wke_aut,2,wke,aut,28,200,0.4823247790336609,3.3828346578949042,5.337641491113958,475.1859191478701
c3_wkd_win,3,wkd,win,95,200,0.16352805495262146,2.2325343472714,4.892137475954022,450.72600147234994
c3_wkd_spr,3,wkd,spr,113,200,0.22018079459667206,1.8259891186527275,4.881896271248431,383.4742462191237
c3_wkd_sum,3,wkd,sum,103,200,0.2738558053970337,2.277771902698368,3.375332700482975,442.9265654684832
c3_wkd_aut,3,wkd,aut,113,200,0.2994479537010193,2.188434489614001,4.925305487521569,534.5776352695799
c3_wke_spr,3,wke,spr,16,200,0.19081097841262817,2.0700766711688323,3.0473133124242224,763.3191543920849
c3_wke_sum,3,wke,sum,20,200,0.36224693059921265,2.3051098566907937,2.1534179590016604,504.66078309702493
c3_wke_aut,3,wke,aut,18,200,0.24680715799331665,3.122536786417266,4.197359088900575,876.9514531966671
c4_wkd_spr,4,wkd,spr,18,200,0.5368862152099609,3.3783234235359796,5.820421187403356,2119.6377614302432
c4_wkd_sum,4,wkd,sum,14,200,0.2590443789958954,2.3902277051983165,3.382777433826242,1211.1812468418316
c4_wkd_aut,4,wkd,aut,18,200,0.7219610810279846,3.801080838052471,3.2056513427928643,3441.8673469303158
