model,metric,mean,ci_lower,ci_upper,n_conditions,n_bootstrap,confidence,weight_col
cvae,acf_l2,0.25946624390780926,0.1595086412969976,0.39529664865694936,8,2000,0.95,unweighted
cvae,wasserstein,1.8883384164031671,1.6201583317618098,2.190889247795602,8,2000,0.95,unweighted
cvae,crps,5.688894480660017,4.636917367829752,6.665816631064668,8,2000,0.95,unweighted
cvae,spectral_frechet,398.7622862773051,275.08935738685176,601.7375596245931,8,2000,0.95,unweighted
diffusion,acf_l2,0.3720502741634846,0.2853146505542099,0.4629809001460671,8,2000,0.95,unweighted
diffusion,wasserstein,2.9079005107330653,2.4568383326547707,3.4401576474552455,8,2000,0.95,unweighted
diffusion,crps,5.968330293997549,4.891524595900022,6.9719010623084,8,2000,0.95,unweighted
diffusion,spectral_frechet,806.8116401312298,456.6708242017569,1223.1982776316097,8,2000,0.95,unweighted
historical,acf_l2,0.27628900669515133,0.19775749631226064,0.3911750583909451,8,2000,0.95,unweighted
historical,wasserstein,2.041094743620933,1.780302625884505,2.3733144514874005,8,2000,0.95,unweighted
historical,crps,5.691628917768828,4.63297584941241,6.664636182365239,8,2000,0.95,unweighted
historical,spectral_frechet,626.5810869218963,410.6123871872155,872.6037298345273,8,2000,0.95,unweighted
rf,acf_l2,0.3807012289762497,0.2805250040255487,0.4974131300114092,8,2000,0.95,unweighted
rf,wasserstein,2.918731384109412,2.3983523477382147,3.615245320543123,8,2000,0.95,unweighted
rf,crps,5.977852519979773,4.837408950419564,7.020801811979264,8,2000,0.95,unweighted
rf,spectral_frechet,997.9369543544191,426.60996697040855,1756.776682325223,8,2000,0.95,unweighted
