model,metric,mean,ci_lower,ci_upper,n_conditions,n_bootstrap,confidence,weight_col
cvae,acf_l2,0.25368899591317245,0.13394781254094645,0.4561258055118322,8,2000,0.95,n_real
cvae,wasserstein,1.7884502179404882,1.4964427878413435,2.2295117774443503,8,2000,0.95,n_real
cvae,crps,5.7779840118622445,4.921771362625779,6.674958335806036,8,2000,0.95,n_real
cvae,spectral_frechet,416.0298918812599,232.7714738836008,724.9110252091873,8,2000,0.95,n_real
diffusion,acf_l2,0.347990924304459,0.24377672720861027,0.46907398942586725,8,2000,0.95,n_real
diffusion,wasserstein,2.9000591156038236,2.193910716770758,3.7932869845897113,8,2000,0.95,n_real
diffusion,crps,6.086898034255181,5.05282591787671,7.171779944754749,8,2000,0.95,n_real
diffusion,spectral_frechet,690.9726991915023,387.64929214108133,1135.9756169012426,8,2000,0.95,n_real
historical,acf_l2,0.2863643748803543,0.17695060466559656,0.46601370934116526,8,2000,0.95,n_real
historical,wasserstein,1.988999942018739,1.7011324040028009,2.427678535014219,8,2000,0.95,n_real
historical,crps,5.791839662870764,4.933002089702088,6.689661641844101,8,2000,0.95,n_real
historical,spectral_frechet,694.7294539726884,358.6136362050496,1014.0510218657557,8,2000,0.95,n_real
rf,acf_l2,0.3720280368026461,0.23715903898608576,0.5623030638566078,8,2000,0.95,n_real
rf,wasserstein,3.1426508726670854,2.47168271145618,4.107353160555227,8,2000,0.95,n_real
rf,crps,6.155333773850711,5.027089161936374,7.298660567232798,8,2000,0.95,n_real
rf,spectral_frechet,1030.055565914401,410.3547427332991,2115.201637930315,8,2000,0.95,n_real
