model,cluster,day_type,condition,n_real,n_synthetic,n_empirical_meta,acf_l2,crps,spectral_frechet,wasserstein
historical,0,weekday,cluster0_weekday,304,200,4,0.2469969391822815,6.581154127738403,1001.524088371588,1.7621694933458067
historical,0,weekend,cluster0_weekend,221,200,4,0.2114662081003189,7.1082297974324735,822.1602325492304,1.6358344546687398
historical,2,weekday,cluster2_weekday,272,200,4,0.6177036166191101,4.323316279906328,1215.0118855830124,2.6481521364497396
historical,2,weekend,cluster2_weekend,134,200,4,0.36231017112731934,7.143399305297723,312.31575556327834,2.854327540330251
historical,3,weekday,cluster3_weekday,424,200,4,0.1404213309288025,5.528250071353414,265.8903929217404,1.6504483312678133
historical,3,weekend,cluster3_weekend,55,200,4,0.22470207512378693,3.3909688504499917,582.7918689466287,1.8589714300143256
historical,4,weekday,cluster4_weekday,58,200,4,0.19833359122276306,4.130160362709733,361.2357586054138,2.0771199655492896
historical,4,weekend,cluster4_weekend,18,200,4,0.2083781212568283,7.327552547262554,451.7187128342781,1.841734597341499
diffusion,0,weekday,cluster0_weekday,304,200,4,0.44409486651420593,7.467586388168053,1382.4591350617768,4.433899617773282
diffusion,0,weekend,cluster0_weekend,221,200,4,0.2429642379283905,7.467922077805401,439.86731573623604,3.1363736659643924
diffusion,2,weekday,cluster2_weekday,272,200,4,0.5448154807090759,4.362791059715899,664.5698824362046,2.6611720937177585
diffusion,2,weekend,cluster2_weekend,134,200,4,0.3223721981048584,7.153309693206179,224.31218227824178,2.809070825817398
diffusion,3,weekday,cluster3_weekday,424,200,4,0.20351088047027588,5.6165628674363575,319.2718395974842,1.8939696520979918
diffusion,3,weekend,cluster3_weekend,55,200,4,0.222249835729599,3.581146847936963,578.5224741608981,2.3285401142761732
diffusion,4,weekday,cluster4_weekday,58,200,4,0.5144858360290527,4.580330415610198,2001.9378848486867,3.22683591971645
diffusion,4,weekend,cluster4_weekend,18,200,4,0.4819088578224182,7.516993002101338,843.552406930309,2.77334219650108
rf,0,weekday,cluster0_weekday,304,200,4,0.698582112789154,7.796861872052675,3042.097615710654,5.052034620459854
rf,0,weekend,cluster0_weekend,221,200,4,0.32856544852256775,7.499474865280274,398.90370940263495,3.283724257306243
rf,2,weekday,cluster2_weekday,272,200,4,0.3575279414653778,4.2749457673761775,483.7959952646808,2.3635393030705365
rf,2,weekend,cluster2_weekend,134,200,4,0.2784874439239502,7.129863127265884,352.8314651720322,2.6995992788188232
rf,3,weekday,cluster3_weekday,424,200,4,0.1864984929561615,5.693952474019025,397.76563335986526,2.534715614839707
rf,3,weekend,cluster3_weekend,55,200,4,0.2706497013568878,3.5164233415323674,514.5071429666134,1.9638920582898294
rf,4,weekday,cluster4_weekday,58,200,4,0.5667586922645569,4.474165406032335,2290.0008557181786,3.07382266705759
rf,4,weekend,cluster4_weekend,18,200,4,0.35853999853134155,7.4371333062794465,503.5932172406942,2.3785232730327137
cvae,0,weekday,cluster0_weekday,304,200,4,0.1447811871767044,6.567432801715323,331.7981665419617,1.6790815397241154
cvae,0,weekend,cluster0_weekend,221,200,4,0.14484632015228271,7.084392629369481,253.9871281993068,1.3087199706510149
cvae,2,weekday,cluster2_weekday,272,200,4,0.6218180656433105,4.327629006196237,1057.734419827763,2.4626853131512516
cvae,2,weekend,cluster2_weekend,134,200,4,0.4311612844467163,7.1247133022646185,360.0925357626077,2.5318572381163764
cvae,3,weekday,cluster3_weekday,424,200,4,0.10847383737564087,5.501567727150857,189.4285987254397,1.4233705106685253
cvae,3,weekend,cluster3_weekend,55,200,4,0.14035670459270477,3.3357565323077365,335.3155206923383,1.584107343864001
cvae,4,weekday,cluster4_weekday,58,200,4,0.2904353141784668,4.193048795112317,364.8756330825172,2.1027727319487375
cvae,4,weekend,cluster4_weekend,18,200,4,0.19385723769664764,7.376615051163568,296.86628738650654,2.0141126831013154
