condition,cluster,day_type,season,n_real,n_syn,acf_l2,wasserstein,crps,spectral_frechet
c0_wkd_win,0,wkd,win,61,200,0.27367687225341797,1.723717230676207,2.0806183846933264,908.4670513057191
c0_wkd_spr,0,wkd,spr,69,200,0.3678070604801178,1.361938863467531,2.6814210212805563,353.22626706328145
c0_wkd_sum,0,wkd,sum,67,200,0.4352045953273773,1.1849319229183883,1.2967885115775155,325.55184531829343
c0_wkd_aut,0,wkd,aut,81,200,0.2772691249847412,1.4157783761530662,2.6524493329678607,357.1435556943841
c0_wke_spr,0,wke,spr,14,200,0.5370258688926697,1.632702720584582,2.0506739474232707,686.406177338913
c0_wke_aut,0,wke,aut,15,200,0.5249793529510498,1.6426854714486663,2.164141549723016,580.9782778297529
c1_wkd_win,1,wkd,win,60,200,1.0139774084091187,2.1506417562644082,2.788338064635793,913.0223857598894
c1_wkd_spr,1,wkd,spr,21,200,0.9067462682723999,1.9869024601274201,2.930921761384559,763.0088190009474
c1_wkd_sum,1,wkd,sum,42,200,0.6606778502464294,1.312286766024191,1.1937080569020575,366.65673111439065
c1_wkd_aut,1,wkd,aut,18,200,0.7257987260818481,1.9748727982667222,2.308105569417499,565.2974711035051
c1_wke_win,1,wke,win,49,200,0.5032479763031006,2.210114537689155,3.41840911629942,1092.1283113741008
c1_wke_spr,1,wke,spr,27,200,0.40513741970062256,1.407916779612976,3.165570972278126,503.1639448524536
c1_wke_sum,1,wke,sum,37,200,0.3483450412750244,1.2574168444877893,1.2769280808482621,211.17640606886147
c1_wke_aut,1,wke,aut,26,200,0.299469918012619,1.8137546756559082,3.012849841310046,485.36746094910745
c2_wkd_spr,2,wkd,spr,24,200,0.32107722759246826,1.5582917357404629,3.1803898715590435,518.1925247149692
c2_wkd_sum,2,wkd,sum,23,200,0.59344083070755,1.3807836817232406,1.5336642670740899,279.1770695092913
c2_wkd_aut,2,wkd,aut,14,200,0.26729774475097656,1.658441485187516,1.4896671583686558,122.8771853652641
c2_wke_sum,2,wke,sum,11,200,0.6628639698028564,1.7440635230433401,1.7551885383233878,598.483963423956
c3_wkd_win,3,wkd,win,68,200,0.31235170364379883,3.7272682657583274,4.535255087951352,2120.6235262412574
c3_wkd_spr,3,wkd,spr,66,200,0.45603278279304504,3.6368515497595815,5.024360545436662,2103.4102363182146
c3_wkd_sum,3,wkd,sum,66,200,0.588375985622406,4.6624249634311425,3.7222908500531102,3749.666446612507
c3_wkd_aut,3,wkd,aut,72,200,0.3914044201374054,2.9063816381264567,3.229725211679383,1243.652402494175
c3_wke_win,3,wke,win,29,200,0.511679470539093,3.5972914839809262,3.416131851587933,1462.3475256756074
c3_wke_spr,3,wke,spr,26,200,0.8066921830177307,4.075152847458369,3.6638775010374114,2925.073553201699
c3_wke_sum,3,wke,sum,26,200,1.0032979249954224,4.515980771968712,3.66912774391564,4866.635867808918
c3_wke_aut,3,wke,aut,28,200,0.6983662247657776,2.7632208926753585,2.404334492016974,1455.4145986267679
c4_wkd_win,4,wkd,win,81,200,0.43887561559677124,3.182293352607507,3.2121905358647487,809.4083764266045
c4_wkd_spr,4,wkd,spr,84,200,0.5514482259750366,2.3847652851032652,3.22867965238066,634.5543798158185
c4_wkd_sum,4,wkd,sum,66,200,0.38381054997444153,1.6093015047463541,1.5378969343445368,350.9464603175846
c4_wkd_aut,4,wkd,aut,75,200,0.6262587904930115,2.4871359964067015,3.381625417574909,615.7934814488827
c4_wke_win,4,wke,win,34,200,0.40364667773246765,2.6730728675292768,2.8814734064150094,642.8203791700219
c4_wke_spr,4,wke,spr,31,200,0.5776171684265137,2.2857277389552126,3.287494569019012,653.3869304527241
c4_wke_sum,4,wke,sum,26,200,0.41169822216033936,1.8149763152956764,1.6074440829882257,437.61990311222246
c4_wke_aut,4,wke,aut,27,200,0.5071699023246765,2.184828038964939,2.885969341272465,363.77960378443504
