model,metric,mean,ci_lower,ci_upper,n_conditions,n_bootstrap,confidence,weight_col
cvae,acf_l2,0.37035583704710007,0.2572005001828075,0.48674013398587695,10,2000,0.95,unweighted
cvae,wasserstein,1.6452642370434802,1.2589681904289627,2.0506048397745817,10,2000,0.95,unweighted
cvae,crps,3.029056469435594,2.6271610449033207,3.402638094259096,10,2000,0.95,unweighted
cvae,spectral_frechet,598.100438129363,370.4334057009022,819.9360620754331,10,2000,0.95,unweighted
diffusion,acf_l2,0.48626714646816255,0.4070528515428305,0.5760863213986157,10,2000,0.95,unweighted
diffusion,wasserstein,2.020972757749644,1.6260150110449094,2.4756188022790573,10,2000,0.95,unweighted
diffusion,crps,3.1920541197900407,2.801575497424578,3.571145063978249,10,2000,0.95,unweighted
diffusion,spectral_frechet,779.1853268182138,428.22630281794966,1263.86275515762,10,2000,0.95,unweighted
historical,acf_l2,0.3372565984725952,0.24248471461236476,0.42927279211580743,10,2000,0.95,unweighted
historical,wasserstein,1.6626276872943695,1.2774555007642623,2.062357809832747,10,2000,0.95,unweighted
historical,crps,3.0254339677067787,2.633554921127867,3.3893790467019067,10,2000,0.95,unweighted
historical,spectral_frechet,672.6910675601382,314.2333836955403,1101.4286608171626,10,2000,0.95,unweighted
rf,acf_l2,0.44566612541675565,0.35531131662428383,0.5496611029654741,10,2000,0.95,unweighted
rf,wasserstein,1.9684127816450772,1.4873563305665587,2.5069724036637857,10,2000,0.95,unweighted
rf,crps,3.1697166128168557,2.7591774356568655,3.585254611919952,10,2000,0.95,unweighted
rf,spectral_frechet,912.4842025059525,307.9606972922475,1712.1815324747129,10,2000,0.95,unweighted
