model,metric,mean,ci_lower,ci_upper,n_conditions,n_bootstrap,confidence,weight_col
cvae,acf_l2,0.37631856391747154,0.21834510871323468,0.5484015986877979,10,2000,0.95,n_real
cvae,wasserstein,1.7963982357516475,1.244730161134312,2.3003177846535277,10,2000,0.95,n_real
cvae,crps,3.354710645712875,2.928354967432666,3.6576714756515014,10,2000,0.95,n_real
cvae,spectral_frechet,722.9103119072201,337.52675283305905,1018.2016885851272,10,2000,0.95,n_real
diffusion,acf_l2,0.46490215856621986,0.37993180936165377,0.5741300648977875,10,2000,0.95,n_real
diffusion,wasserstein,2.1425299988884654,1.5994596528443046,2.6442062623629563,10,2000,0.95,n_real
diffusion,crps,3.5113705427074384,3.0566818484531217,3.863049119088046,10,2000,0.95,n_real
diffusion,spectral_frechet,860.2101445308595,416.79496776694754,1381.659322926543,10,2000,0.95,n_real
historical,acf_l2,0.33567373396488287,0.21120589830615108,0.4681887175710375,10,2000,0.95,n_real
historical,wasserstein,1.768699519042962,1.2734273176053423,2.192637646124708,10,2000,0.95,n_real
historical,crps,3.3398431212655937,2.930137577849159,3.6246210797835885,10,2000,0.95,n_real
historical,spectral_frechet,782.9927150849416,289.26958641203254,1257.121383789291,10,2000,0.95,n_real
rf,acf_l2,0.4453365720047425,0.35783663681973266,0.5398986488963291,10,2000,0.95,n_real
rf,wasserstein,2.1758420650406967,1.4841347024699727,2.9107787832769656,10,2000,0.95,n_real
rf,crps,3.5171738687243073,3.0052668857367655,3.9359751812451487,10,2000,0.95,n_real
rf,spectral_frechet,1121.8776445426752,317.54261477480657,2227.875644220452,10,2000,0.95,n_real
