model,cluster,day_type,condition,n_real,n_synthetic,n_empirical_meta,acf_l2,crps,spectral_frechet,wasserstein
historical,0,weekday,cluster0_weekday,278,200,4,0.13996902108192444,3.067413868722005,138.05523512320417,0.9521170353809792
historical,0,weekend,cluster0_weekend,36,200,4,0.2731214761734009,2.3030822684902836,469.3805606725081,1.3956352858257854
historical,1,weekday,cluster1_weekday,141,200,4,0.5402369499206543,2.688501914422151,352.1004939759373,1.2947368682084772
historical,1,weekend,cluster1_weekend,139,200,4,0.15020868182182312,3.209626334613501,247.73622508760172,1.0545309647937717
historical,2,weekday,cluster2_weekday,63,200,4,0.40485483407974243,2.5065707676997815,271.76649246443213,1.1645631909605052
historical,2,weekend,cluster2_weekend,26,200,4,0.230568528175354,1.963491511903092,274.0233242949545,1.0603383234991899
historical,3,weekday,cluster3_weekday,272,200,4,0.20237267017364502,3.8028576855412886,1780.71182788454,2.039145666449587
historical,3,weekend,cluster3_weekend,109,200,4,0.554429829120636,2.9427309798490198,1989.8782676211674,2.7185003141617052
historical,4,weekday,cluster4_weekday,306,200,4,0.5491734743118286,3.871544782314623,841.7759703597204,2.4050194379512635
historical,4,weekend,cluster4_weekend,118,200,4,0.32763051986694336,3.8985195635120418,361.4822781173171,2.5416897857124288
diffusion,0,weekday,cluster0_weekday,278,200,4,0.30166351795196533,3.15211652735421,338.1338954652919,1.2826183880961386
diffusion,0,weekend,cluster0_weekend,36,200,4,0.4439256489276886,2.3883573684432995,477.4491516420263,1.4518294443866513
diffusion,1,weekday,cluster1_weekday,141,200,4,0.7977670431137085,2.776997931055841,518.2100568004525,1.6248546519291462
diffusion,1,weekend,cluster1_weekend,139,200,4,0.3724675178527832,3.315765342762966,477.1862210591156,1.531396825179782
diffusion,2,weekday,cluster2_weekday,63,200,4,0.39775046706199646,2.6294945825863767,286.3088527395575,1.5048945164770338
diffusion,2,weekend,cluster2_weekend,26,200,4,0.5235846638679504,2.2339786602597203,514.4687742387783,1.7742261563164103
diffusion,3,weekday,cluster3_weekday,272,200,4,0.4193056523799896,4.318728612710564,1953.0945314989626,3.1346706664794133
diffusion,3,weekend,cluster3_weekend,109,200,4,0.6877342462539673,3.3133057290044494,2274.079687715951,3.3740821967776893
diffusion,4,weekday,cluster4_weekday,306,200,4,0.48727160692214966,3.8892761989869675,566.127383495856,2.347140043314629
diffusion,4,weekend,cluster4_weekend,118,200,4,0.43120110034942627,3.90252024473601,386.7947135261461,2.184014688539545
rf,0,weekday,cluster0_weekday,278,200,4,0.3065500855445862,3.1224383294334697,350.6641362145884,1.2381659126760913
rf,0,weekend,cluster0_weekend,36,200,4,0.3002070188522339,2.29175598222216,263.41031846792987,1.1665253756633354
rf,1,weekday,cluster1_weekday,141,200,4,0.6083217263221741,2.7228836347880936,419.10293003728384,1.4586310050785043
rf,1,weekend,cluster1_weekend,139,200,4,0.32067620754241943,3.2530565294610514,224.77734399363925,1.2526855298222808
rf,2,weekday,cluster2_weekday,63,200,4,0.29760536551475525,2.625322512894498,233.57683164096457,1.6435928077369277
rf,2,weekend,cluster2_weekend,26,200,4,0.5242079496383667,2.203386439333054,590.3321269623701,1.6152653076341206
rf,3,weekday,cluster3_weekday,272,200,4,0.49991461634635925,4.5587316057817615,3613.95791914442,3.837713567926972
rf,3,weekend,cluster3_weekend,109,200,4,0.8137856125831604,3.2313562122530524,2814.711594629168,3.1308473428065455
rf,4,weekday,cluster4_weekday,306,200,4,0.4603765904903412,3.8554483505300934,423.91720772341466,2.28080470917493
rf,4,weekend,cluster4_weekend,118,200,4,0.3250160813331604,3.832786531471322,190.39161624574615,2.059896257931064
cvae,0,weekday,cluster0_weekday,278,200,4,0.1251288205385208,3.0693789122172324,126.07375975385472,0.9558974046572534
cvae,0,weekend,cluster0_weekend,36,200,4,0.1862039566040039,2.264012566730932,269.8237406526177,1.1078781000912887
cvae,1,weekday,cluster1_weekday,141,200,4,0.7204851508140564,2.683850292404225,659.9234961648037,1.2493032551500667
cvae,1,weekend,cluster1_weekend,139,200,4,0.35675477981567383,3.227859282621384,349.0102659015379,1.1037942996895695
cvae,2,weekday,cluster2_weekday,63,200,4,0.5203071236610413,2.5026369961903288,472.55641786780063,1.18167482221496
cvae,2,weekend,cluster2_weekend,26,200,4,0.25438040494918823,1.9753239915211998,234.44465893342687,1.2420396407704855
cvae,3,weekday,cluster3_weekday,272,200,4,0.17462846636772156,3.8068201610518733,1105.888183742613,1.9473174496564412
cvae,3,weekend,cluster3_weekend,109,200,4,0.3311119079589844,2.9061392473361085,1046.7813726605773,2.4766482791144844
cvae,4,weekday,cluster4_weekday,306,200,4,0.6501827239990234,3.9459436179683225,1255.596170024774,2.7621289831126794
cvae,4,weekend,cluster4_weekend,118,200,4,0.38437503576278687,3.9085996263143374,460.90631559162483,2.4259601359775718
